PilotoID,PODIOS,TOTAL_CORRIDAS,PERCENTUAL_PODIOS,PILOTO_NOMECOMP
30,155,308,50.3247,"Michael Schumacher"
1,117,208,56.2500,"Lewis Hamilton"
117,106,202,52.4752,"Alain Prost"
20,99,199,49.7487,"Sebastian Vettel"
4,97,293,33.1058,"Fernando Alonso"
8,91,273,33.3333,"Kimi Raikkè‹”nen"
102,80,162,49.3827,"Ayrton Senna"
22,68,326,20.8589,"Rubens Barrichello"
14,62,247,25.1012,"David Coulthard"
137,60,207,28.9855,"Nelson Piquet"
