resultId,raceId,driverId,fastestLap,fastestLapTime
265,30,21,17,01:51.7
266,30,8,24,01:47.9
267,30,22,10,01:52.1
268,30,12,12,01:51.1
269,31,20,53,01:30.5
270,31,5,53,01:30.3
271,31,9,52,01:30.3
272,31,4,51,01:30.0
273,31,2,53,01:29.8
274,31,13,52,01:29.7
275,31,1,52,01:29.7
276,31,17,52,01:29.7
277,31,8,53,01:28.0
278,31,12,53,01:30.9
279,31,10,53,01:29.9
280,31,6,53,01:30.2
281,31,15,52,01:30.9
282,31,3,53,01:30.0
283,31,18,52,01:29.8
284,31,14,49,01:32.5
285,31,22,42,01:33.9
286,31,7,52,01:29.3
287,31,16,51,01:33.5
288,31,21,6,01:37.3
289,32,4,55,01:45.8
290,32,3,39,01:46.5
291,32,1,14,01:46.1
292,32,10,50,01:47.0
293,32,20,13,01:47.3
294,32,2,14,01:47.3
295,32,14,41,01:47.6
296,32,6,13,01:47.3
297,32,18,61,01:48.1
298,32,5,14,01:47.3
299,32,9,14,01:46.9
300,32,7,29,01:47.8
301,32,13,13,01:45.8
302,32,21,28,01:49.1
303,32,8,14,01:45.6
304,32,15,32,01:47.0
305,32,16,38,01:49.3
306,32,17,13,01:49.2
307,32,22,13,01:50.3
308,32,12,13,01:50.4
309,33,4,41,01:19.1
310,33,9,16,01:19.3
311,33,8,66,01:19.0
312,33,12,54,01:19.2
313,33,15,18,01:19.5
314,33,20,21,01:19.6
315,33,13,55,01:18.4
316,33,17,30,01:19.8
317,33,2,67,01:19.5
318,33,7,49,01:19.3
319,33,3,66,01:19.5
320,33,1,65,01:19.6
321,33,22,66,01:20.6
322,33,18,66,01:20.8
323,33,6,32,01:20.4
324,33,21,20,01:21.6
325,33,5,12,01:19.3
326,33,16,6,01:21.2
327,33,10,4,01:20.3
329,34,1,13,01:36.3
330,34,13,36,01:36.6
331,34,8,14,01:36.5
332,34,4,56,01:36.7
333,34,2,56,01:36.5
334,34,9,56,01:36.9
335,34,10,56,01:36.7
336,34,12,56,01:37.0
337,34,20,55,01:37.2
338,34,14,27,01:37.8
339,34,22,56,01:37.8
340,34,6,54,01:38.0
341,34,7,36,01:37.5
342,34,17,10,01:37.7
343,34,3,38,01:37.2
344,34,18,54,01:37.8
345,34,21,54,01:38.4
346,34,5,32,01:37.3
347,34,16,13,01:39.7
348,34,15,2,02:39.6
349,35,13,36,01:13.7
350,35,4,39,01:14.2
351,35,8,59,01:14.1
352,35,20,25,01:14.2
353,35,1,31,01:14.2
354,35,10,32,01:14.1
355,35,5,36,01:14.2
356,35,15,40,01:14.2
357,35,17,40,01:15.0
358,35,2,41,01:14.7
359,35,9,61,01:14.4
360,35,3,35,01:14.9
361,35,18,59,01:14.8
362,35,7,57,01:15.0
363,35,22,35,01:15.4
364,35,16,60,01:15.8
365,35,6,50,01:15.9
366,35,21,36,01:15.2
369,36,8,41,01:25.2
370,36,4,20,01:26.3
371,36,1,20,01:26.4
372,36,2,37,01:26.7
373,36,21,18,01:26.9
374,36,13,28,01:27.0
375,36,3,40,01:26.7
376,36,23,42,01:27.8
377,36,15,45,01:28.0
378,36,5,44,01:27.6
379,36,22,17,01:28.1
380,36,11,20,01:28.5
381,36,17,21,01:27.5
382,36,24,44,01:28.3
383,36,18,42,01:28.4
384,36,19,41,01:28.5
385,36,16,40,01:28.7
386,36,25,24,01:28.3
387,36,14,44,01:27.7
388,36,9,19,01:26.6
389,36,26,22,01:29.0
390,36,27,9,01:30.9
391,37,4,42,01:36.9
392,37,1,22,01:36.7
393,37,8,40,01:37.2
394,37,2,55,01:37.4
395,37,13,42,01:37.2
396,37,21,44,01:37.9
397,37,15,40,01:38.0
398,37,5,41,01:37.8
399,37,25,19,01:37.9
400,37,17,55,01:38.5
401,37,22,32,01:38.6
402,37,18,54,01:38.7
403,37,11,37,01:38.5
404,37,26,54,01:39.1
405,37,23,52,01:39.2
406,37,19,32,01:39.6
407,37,24,21,01:38.4
408,37,9,53,01:38.9
409,37,3,18,01:37.7
410,37,14,28,01:38.1
411,37,27,5,01:41.5
413,38,13,42,01:34.1
414,38,1,18,01:34.3
415,38,8,39,01:34.4
416,38,2,38,01:34.5
417,38,4,46,01:34.4
418,38,9,46,01:34.8
419,38,15,40,01:35.2
420,38,21,51,01:35.2
421,38,5,27,01:35.5
422,38,3,51,01:35.6
423,38,25,27,01:36.0
424,38,23,37,01:35.8
425,38,22,50,01:35.8
426,38,27,40,01:37.2
427,38,16,45,01:36.8
428,38,19,27,01:36.1
429,38,17,37,01:35.7
430,38,14,34,01:35.4
431,38,11,23,01:36.4
432,38,24,23,01:35.7
435,39,13,14,01:22.7
436,39,1,20,01:22.9
437,39,4,17,01:23.0
438,39,9,20,01:23.1
439,39,14,18,01:23.5
440,39,3,60,01:23.7
441,39,5,32,01:23.0
442,39,11,23,01:24.1
443,39,21,57,01:23.6
444,39,22,16,01:24.3
445,39,19,59,01:24.3
446,39,18,64,01:24.2
447,39,16,57,01:25.2
448,39,27,61,01:25.3
449,39,2,22,01:23.5
450,39,23,37,01:24.0
451,39,24,18,01:25.2
452,39,26,6,01:26.2
453,39,8,7,01:23.5
454,39,15,6,01:26.1
455,39,17,4,01:26.3
457,40,4,44,01:15.3
458,40,1,28,01:15.4
459,40,13,47,01:16.2
460,40,21,54,01:16.3
461,40,9,39,01:16.0
462,40,2,30,01:17.0
463,40,25,40,01:16.7
464,40,8,62,01:16.6
465,40,26,73,01:16.9
466,40,22,69,01:17.1
467,40,18,40,01:16.8
468,40,3,70,01:17.0
469,40,5,72,01:17.1
470,40,14,75,01:16.8
471,40,15,53,01:17.5
472,40,23,47,01:17.2
473,40,11,74,01:17.2
474,40,19,63,01:17.2
475,40,27,70,01:17.7
476,40,16,34,01:17.7
477,40,17,17,01:19.0
479,41,1,37,01:16.5
480,41,2,19,01:16.7
481,41,25,67,01:17.9
482,41,5,67,01:18.4
483,41,8,21,01:16.9
484,41,11,47,01:18.0
485,41,4,46,01:16.4
486,41,23,38,01:17.9
487,41,17,47,01:17.6
488,41,3,42,01:17.2
489,41,19,36,01:18.8
490,41,22,62,01:18.5
491,41,15,12,01:19.1
492,41,24,9,01:19.4
493,41,27,21,01:19.3
494,41,14,19,01:19.0
495,41,9,19,01:17.5
496,41,16,20,01:19.5
497,41,26,6,01:20.1
499,41,13,22,01:16.8
500,41,21,22,01:17.4
501,42,1,20,01:13.2
502,42,4,21,01:13.3
503,42,13,50,01:13.4
504,42,8,49,01:13.1
505,42,5,67,01:14.0
506,42,15,30,01:14.0
507,42,17,57,01:14.0
508,42,20,53,01:13.9
509,42,21,67,01:14.0
510,42,25,41,01:14.5
511,42,19,55,01:14.1
512,42,18,42,01:14.7
513,42,26,66,01:15.1
514,42,16,49,01:14.9
515,42,27,65,01:15.9
516,42,3,34,01:14.1
517,42,24,64,01:15.4
518,42,2,20,01:13.4
519,42,11,8,01:16.7
523,43,8,20,01:16.2
524,43,13,42,01:16.1
525,43,1,39,01:16.6
526,43,9,44,01:17.2
527,43,2,70,01:16.9
528,43,21,70,01:16.7
529,43,4,36,01:16.5
530,43,18,70,01:16.8
531,43,3,69,01:17.0
532,43,23,68,01:17.0
533,43,22,68,01:17.2
534,43,17,69,01:17.2
535,43,14,68,01:17.4
536,43,25,69,01:17.2
537,43,5,69,01:17.2
538,43,11,39,01:17.8
539,43,16,27,01:18.1
540,43,26,51,01:17.9
541,43,27,27,01:19.0
545,44,8,17,01:20.6
546,44,4,35,01:21.1
547,44,1,11,01:21.7
548,44,9,14,01:22.1
549,44,13,17,01:20.9
550,44,2,17,01:22.0
551,44,5,11,01:22.6
552,44,21,13,01:22.1
553,44,22,28,01:23.4
554,44,18,29,01:23.6
555,44,14,40,01:23.1
556,44,3,49,01:22.9
557,44,25,57,01:22.7
558,44,11,42,01:23.4
559,44,27,56,01:24.4
560,44,24,46,01:23.6
561,44,15,17,01:23.7
562,44,19,26,01:24.1
563,44,26,19,01:23.6
